Date,ECOPETROL.CL,GEB.CL,PFCIBEST.CL,CIBEST.CL,GOOGL,AAPL,BVC.CL,NKE,IVV
2019-12-06,1444.86181640625,1310.3763427734375,25909.40625,25816.162109375,229625.73650068045,225390.9705291465,6829.2900390625,307294.28903084993,990779.6191716492
2019-12-09,1436.1053466796875,1307.384521484375,25791.150390625,25816.162109375,227951.90670204163,220024.21061515808,6763.30517578125,303076.1143951416,978008.821975708
2019-12-10,1427.348388671875,1304.39306640625,25791.150390625,25385.892578125,227428.86341892555,220818.65464226156,6818.29296875,303592.37071254104,974817.1655775458
2019-12-11,1431.7265625,1307.384521484375,25873.9296875,25631.759765625,226965.894657135,222023.9262161255,6840.2880859375,303198.2970314026,974313.8707504272
2019-12-12,1447.0509033203125,1301.4012451171875,26098.60546875,25939.09375,225642.23371696472,220595.81568145752,6763.30517578125,302151.8953857422,974137.2634048462
2019-12-13,1455.8076171875,1307.384521484375,26441.55078125,26123.5,225170.75466156006,223395.4933834076,6719.31640625,302037.7341270447,973606.3619613647
2019-12-16,1460.18603515625,1307.384521484375,26784.48046875,26406.244140625,228360.0611591339,228095.847366333,6334.4130859375,306427.68464660645,984386.5924911499
2019-12-17,1473.2315673828125,1307.384521484375,26725.35546875,26615.234375,225241.70014741272,226389.85038723424,6554.3583984375,306119.75504632294,975199.543697536
2019-12-18,1466.4837646484375,1310.3763427734375,27316.62890625,26725.875,223948.43165157363,225047.19278091379,6477.37744140625,307849.1515318975,971798.3417001516
2019-12-19,1484.4775390625,1319.3515625,27493.99609375,27229.90625,223576.18911209516,224146.9024816919,6477.37744140625,308077.57369874977,971090.936144203
2019-12-20,1493.474365234375,1322.34326171875,27257.490234375,26873.390625,221927.77770996094,222891.16662597656,6411.39404296875,303376.01110839844,972602.7407226562
2019-12-23,1506.9696044921875,1343.28564453125,27198.369140625,27561.828125,222031.88243865967,226733.71341705322,6378.40283203125,303893.833694458,974178.3256530762
2019-12-24,1493.474365234375,1364.2274169921875,27182.30859375,28138.830078125,220663.23413008265,226590.48523887992,6378.40283203125,303716.64057386667,972758.8498525992
2019-12-26,1504.720458984375,1361.23583984375,27122.833984375,27025.642578125,222711.34048461914,230142.84112930298,6378.40283203125,304198.6933994293,973802.7640914917
2019-12-27,1502.4710693359375,1346.2769775390625,27241.79296875,27087.486328125,220843.69163513184,229444.78607177734,6378.40283203125,305981.89544677734,971038.289642334
2019-12-30,1491.2252197265625,1328.3267822265625,27241.79296875,27211.16796875,219140.4447441101,231578.9243659973,6378.40283203125,304678.427570343,969029.09815979
2020-01-02,1491.2252197265625,1328.3267822265625,26849.228515625,27446.173828125,222607.22981382348,237237.7589839734,6378.40283203125,307154.98484217934,974906.5610058531
2020-01-03,1520.4647216796875,1331.3184814453125,26873.013671875,27396.705078125,219619.0678882599,232996.55815315247,6378.40283203125,303790.873128891,959440.3439483643
